id,avis,label,categorie,difficulte
247,"La qualité de la matière est haut de gamme.",positif,produit,simple
248,"Votre service client est aux abonnés absents le week-end.",négatif,support,problème
249,"Je n'aurais pas commandé si je savais que ça venait de si loin.",mitigé,livraison,négation_positive
250,"Avoir de fidélité crédité, merci.",neutre,administratif,factuel
251,"Le service est correct, sans être exceptionnel.",mitigé,general,opinion_mixte
252,"J'ai reçu le mauvais article.",négatif,produit,problème
253,"Je ne pensais pas que vous seriez aussi généreux dans votre geste commercial.",positif,remboursement,négation_positive
254,"Votre transporteur laisse à désirer.",négatif,livraison,problème
255,"Le produit s'est cassé après deux utilisations.",négatif,produit,problème
256,"Franchement je ne m'y attendais pas, très belle surprise.",positif,produit,simple
257,"Votre service de retour est simple et efficace.",positif,remboursement,simple
258,"Je n'ai jamais eu à contacter le support, tout fonctionne bien.",positif,support,négation_positive
259,"Paiement validé sous quelques secondes.",positif,paiement,simple
260,"La commande est en cours de préparation.",neutre,livraison,factuel
261,"Aucune réponse à mon email depuis 10 jours.",négatif,support,problème
262,"Produit de qualité, conforme à la description.",positif,produit,simple
263,"Je ne comprends pas pourquoi mon colis est bloqué en douane.",négatif,livraison,problème
264,"La taille correspond au guide taille indiqué.",positif,produit,simple
265,"Votre IA répond à côté à chaque fois.",négatif,support,sarcasme
266,"Email de confirmation de commande reçu.",neutre,administratif,factuel
267,"Le chat en ligne fonctionne bien, réponse rapide.",positif,support,simple
268,"J'aurais voulu plus de variantes de couleurs.",mitigé,produit,opinion_mixte
269,"Je ne m'attendais pas à recevoir un cadeau avec ma commande.",positif,general,négation_positive
270,"Application trop lente sur mobile.",négatif,application,problème
271,"Le technicien est arrivé à l'heure.",positif,support,simple
272,"Produit bien mais sans SAV digne de ce nom.",mitigé,support,opinion_mixte
273,"Votre service fait exactement ce qu'il promet.",positif,general,simple
274,"Je suis navré de devoir revenir encore sur ce problème.",négatif,support,problème
275,"Livraison le lendemain, parfait.",positif,livraison,simple
276,"L'interface est confuse pour les nouveaux utilisateurs.",négatif,application,problème
277,"Je n'ai rien eu à faire, tout a été géré automatiquement.",positif,general,négation_positive
278,"Remboursement en cours.",neutre,remboursement,factuel
279,"La documentation produit est incomplète.",négatif,produit,problème
280,"Merci pour votre aide et votre patience.",positif,support,simple
281,"Je suis satisfait à 80%, il reste des points à améliorer.",mitigé,general,opinion_mixte
282,"Le produit est solide, robuste et bien finalisé.",positif,produit,simple
283,"On m'a menti sur les délais de livraison.",négatif,livraison,problème
284,"Je ne pensais pas faire confiance à un service en ligne mais vous m'avez convaincu.",positif,general,négation_positive
285,"Statut expédié visible dans mon compte.",neutre,livraison,factuel
286,"Votre formulaire de contact est cassé sur mobile.",négatif,application,problème
287,"Service irréprochable, je reviendrai.",positif,general,simple
288,"La commande n'est pas encore arrivée et personne ne me répond.",négatif,support,problème
289,"Bonne expérience globale malgré quelques imperfections.",mitigé,general,opinion_mixte
290,"Incroyable comme vous faites attendre vos clients.",négatif,support,sarcasme
291,"Facture disponible dans votre espace client.",neutre,administratif,factuel
292,"Le produit est léger mais résistant.",positif,produit,simple
293,"Je n'imaginais pas un emballage aussi travaillé.",positif,produit,négation_positive
294,"Livraison au mauvais étage.",négatif,livraison,problème
295,"Le service de rappel automatique est pratique.",positif,support,simple
296,"La mise à jour a supprimé mes paramètres.",négatif,application,problème
297,"Je suis content et ma femme aussi, on recommande.",positif,general,simple
298,"Application plantée depuis la dernière mise à jour.",négatif,application,problème
299,"Bon service en général, délais un peu longs.",mitigé,general,opinion_mixte
300,"Merci, tout s'est bien passé.",positif,general,simple
301,"Colis remis sans signature, ça m'inquiète.",mitigé,livraison,opinion_mixte
302,"Je ne peux pas imaginer commander ailleurs désormais.",positif,general,négation_positive
303,"Mon numéro de commande n'est pas reconnu dans l'appli.",négatif,application,problème
304,"Excellent service, personnel accueillant.",positif,support,simple
305,"La couleur est exactement celle indiquée sur la fiche produit.",positif,produit,simple
306,"Votre site affiche des promotions qui ne s'appliquent pas.",négatif,paiement,problème
307,"Je n'aurais jamais pensé commander ici, mais c'était la bonne décision.",positif,general,négation_positive
308,"L'emballage est recyclable, bonne initiative.",positif,produit,simple
309,"Retour refusé sans explication claire.",négatif,remboursement,problème
310,"Le produit fait exactement ce qui est décrit.",positif,produit,simple
311,"Commande passée sans encombre.",neutre,general,factuel
312,"Je ne me souviens pas d'une expérience aussi fluide.",positif,general,négation_positive
313,"Votre service est correct mais pas mémorable.",mitigé,general,opinion_mixte
314,"Le suivi de livraison est très précis.",positif,livraison,simple
315,"Encore une fois, colis abîmé.",négatif,produit,sarcasme
316,"Adresse de livraison mise à jour.",neutre,administratif,factuel
317,"Je suis bluffé par la rapidité de la livraison.",positif,livraison,simple
318,"L'interface mobile n'est pas adaptée aux grands écrans.",mitigé,application,opinion_mixte
319,"Je n'aurais pas imaginé que vous gériez aussi bien les réclamations.",positif,support,négation_positive
320,"Paiement en attente depuis 3 jours.",négatif,paiement,problème
321,"Le service après-vente a résolu mon problème en un appel.",positif,support,simple
322,"Colis signalé livré mais pas reçu.",négatif,livraison,problème
323,"Bon rapport qualité-prix pour ce type de produit.",positif,produit,simple
324,"Je ne pensais pas que votre application serait aussi intuitive.",positif,application,négation_positive
325,"Mon abonnement s'est renouvelé sans autorisation.",négatif,paiement,problème
326,"L'opérateur était sympa mais pas compétent.",mitigé,support,opinion_mixte
327,"Je n'ai eu aucun problème avec la livraison.",positif,livraison,négation_positive
328,"Bravo, vous avez réussi à rater une livraison express.",négatif,livraison,sarcasme
329,"Livraison OK, produit OK.",neutre,general,factuel
330,"Votre service m'a surpris de façon très positive.",positif,support,simple
331,"Le produit est bien mais l'installation est compliquée.",mitigé,produit,opinion_mixte
332,"Je ne m'attendais pas à une résolution aussi rapide.",positif,support,négation_positive
333,"Application stable, aucune erreur en un mois.",positif,application,simple
334,"Emballage inadapté, le produit a bougé pendant le transport.",négatif,produit,problème
335,"Je n'avais pas confiance au départ mais vous l'avez gagnée.",positif,general,négation_positive
336,"Espace client clair et bien structuré.",positif,application,simple
337,"On attend toujours le bon de retour promis.",négatif,remboursement,problème
338,"Le produit est vraiment solide, je l'utilise tous les jours.",positif,produit,simple
339,"Impossible de me désabonner de vos emails.",négatif,administratif,problème
340,"Service client disponible et efficace.",positif,support,simple
341,"Je ne recommanderai pas ce produit.",négatif,produit,simple
342,"Les notifications sont trop fréquentes.",mitigé,application,opinion_mixte
343,"Très belle qualité de finition.",positif,produit,simple
344,"Mon remboursement n'a été que partiel sans justification.",négatif,remboursement,problème
345,"L'article a bien été réservé.",neutre,administratif,factuel
346,"Un des meilleurs achats que j'ai fait cette année.",positif,produit,simple
347,"Je ne vois pas d'amélioration par rapport à l'ancienne version.",mitigé,application,opinion_mixte
348,"La livraison était rapide et bien packagée.",positif,livraison,simple
349,"Mon problème de paiement persiste.",négatif,paiement,problème
350,"Application accessible aux personnes handicapées, bravo.",positif,application,simple
351,"Je suis ravi de mon achat, tout correspond.",positif,produit,simple
352,"Votre service ressemble à un labyrinthe kafkaïen.",négatif,support,problème
353,"Je n'aurais pas cru pouvoir être aussi satisfait d'un service en ligne.",positif,general,négation_positive
354,"Colis laissé chez le voisin sans mot de la part du livreur.",mitigé,livraison,opinion_mixte
355,"Application bien notée mais ça ne se voit pas à l'utilisation.",négatif,application,sarcasme
356,"Profil mis à jour avec succès.",neutre,administratif,factuel
357,"L'article est conforme à mes attentes.",positif,produit,simple
358,"Le processus de retour est rapide et sans friction.",positif,remboursement,simple
359,"Je ne m'attendais pas à tant de réactivité de votre part.",positif,support,négation_positive
360,"La livraison a pris deux fois plus longtemps que prévu.",négatif,livraison,problème
361,"Très satisfaite de mon achat, je recommande à mes amis.",positif,produit,simple
362,"L'appli ne propose pas de mode sombre.",mitigé,application,opinion_mixte
363,"Je n'ai jamais eu un service aussi attentionné.",positif,support,négation_positive
364,"La livraison a été gérée parfaitement.",positif,livraison,simple
365,"Votre politique de retour n'est pas clairement indiquée sur le site.",négatif,remboursement,problème
366,"Excellent service du début à la fin.",positif,general,simple
367,"J'ai reçu un article d'une autre couleur que celle commandée.",négatif,produit,problème
368,"Je ne suis pas convaincu par la qualité.",mitigé,produit,opinion_mixte
369,"SMS de confirmation reçu.",neutre,administratif,factuel
370,"Votre équipe a fait l'impossible pour résoudre mon problème.",positif,support,simple
371,"Paiement refusé sans raison valable.",négatif,paiement,problème
372,"Je n'aurais pas pensé à cette solution, merci !",positif,support,négation_positive
373,"Le produit est bien emballé et protégé.",positif,produit,simple
374,"L'interface plante sur Safari.",négatif,application,problème
375,"Bonne expérience générale.",positif,general,simple
376,"Le service fait ce qu'il promet, ni plus ni moins.",neutre,general,factuel
377,"J'aurais aimé un emballage cadeau disponible.",mitigé,produit,opinion_mixte
378,"Livraison suivie avec précision.",positif,livraison,simple
379,"Le produit est cassé dès la première utilisation.",négatif,produit,problème
380,"Je ne savais pas que vous offriez ce service, bonne surprise.",positif,support,négation_positive
381,"Conditions générales mises à jour.",neutre,administratif,factuel
382,"Très bon service, je ne changerais pas.",positif,general,simple
383,"Encore en attente de remboursement après un mois.",négatif,remboursement,problème
384,"Le service est satisfaisant mais peut mieux faire.",mitigé,general,opinion_mixte
385,"Je pensais que ça serait compliqué et ça ne l'était pas.",positif,general,négation_positive
386,"L'appli s'améliore vraiment à chaque mise à jour.",positif,application,simple
387,"Colis reçu en bon état.",neutre,produit,factuel
388,"Vraiment décevant, dernier achat ici.",négatif,general,simple
389,"Je ne pensais pas à commander ici, mais je suis content.",positif,general,négation_positive
390,"Mon code promo était valide mais refusé au paiement.",négatif,paiement,problème
391,"La réactivité du service client est exemplaire.",positif,support,simple
392,"Le produit se ternit après quelques lavages.",négatif,produit,problème
393,"Je ne me souviens pas d'un service aussi fluide.",positif,general,négation_positive
394,"Livraison conforme à la promesse.",positif,livraison,simple
395,"Super, le livreur a sonné mais je n'ai pas eu le temps d'ouvrir.",mitigé,livraison,sarcasme
396,"Commande reçue.",neutre,livraison,factuel
397,"Le produit est top, je le recommande.",positif,produit,simple
398,"Je n'ai pas été informé du report de ma livraison.",négatif,livraison,problème
399,"Retour pris en charge rapidement.",positif,remboursement,simple
400,"Très longue attente au téléphone.",négatif,support,problème
401,"Je suis satisfait de la livraison.",positif,livraison,simple
402,"L'appli ne garde pas mes préférences.",négatif,application,problème
403,"Je n'avais pas de grandes attentes, elles ont été dépassées.",positif,produit,négation_positive
404,"Le bon de commande était illisible.",négatif,administratif,problème
405,"Réponse rapide et utile.",positif,support,simple
406,"Produit bien mais livraison décevante.",mitigé,livraison,opinion_mixte
407,"Je n'aurais pas cru qu'un retour soit aussi simple.",positif,remboursement,négation_positive
408,"Le bouton de paiement ne répond pas.",négatif,application,problème
409,"Produit très bien fini, je suis content.",positif,produit,simple
410,"Votre application est à la hauteur de sa réputation.",positif,application,simple
411,"Je suis globalement satisfait mais quelques points me dérangent.",mitigé,general,opinion_mixte
412,"L'application a bien évolué ces derniers mois.",positif,application,simple
