id,avis,label,categorie,difficulte,clean_avis,tokens_count,text_without_stopwords,processed_avis
22,"Troisième fois que je commande, toujours satisfait.",positif,general,simple,troisième fois que je commande toujours satisfait,7,troisième fois commande toujours satisfait,troisième fois commande toujours satisfaire
23,"Je suis censé recevoir une réponse sous 48h, on attend toujours.",négatif,support,sarcasme,je suis censé recevoir une réponse sous 48h on attend toujours,11,suis censé recevoir réponse on attend toujours,suis censer recevoir réponse on attend toujours
24,"Mise à jour reçue, merci.",neutre,application,factuel,mise à jour reçue merci,5,mise jour reçue merci,mise jour recevoir merci
25,La couleur ne correspond pas du tout aux photos.,négatif,produit,problème,la couleur ne correspond pas du tout aux photos,9,couleur ne correspond pas photos,couleur ne correspond pas photos
26,"Délai de livraison annoncé 3 jours, reçu en 6.",négatif,livraison,problème,délai de livraison annoncé 3 jours reçu en 6,7,délai livraison annoncé jours reçu,délai livraison annoncer jours recevoir
27,"L'article est honnêtement bien, rapport qualité-prix correct.",mitigé,produit,opinion_mixte,l'article est honnêtement bien rapport qualité prix correct,8,l'article honnêtement rapport qualité prix correct,l'article honnête rapport qualiter prix correct
28,Mon compte a été créé avec succès.,neutre,administratif,factuel,mon compte a été créé avec succès,7,compte été créé succès,compte éter créer succès
29,Je n'aurais pas pensé être aussi content de cet achat.,positif,produit,négation_positive,je n'aurais pas pensé être aussi content de cet achat,10,n'aurais pas pensé content achat,n'aurais pas penser content achat
30,Application impossible à utiliser sur Android.,négatif,application,problème,application impossible à utiliser sur android,6,application impossible utiliser android,application impossible utiliser android
31,"Votre service est au top, continuez comme ça !",positif,support,simple,votre service est au top continuez comme ça,8,service top continuez ça,service top continuez ça
32,"Livraison express, parfaite.",positif,livraison,simple,livraison express parfaite,3,livraison express parfaite,livraison express parfaite
33,Prélèvement effectué deux fois sur mon compte.,négatif,paiement,problème,prélèvement effectué deux fois sur mon compte,7,prélèvement effectué deux fois compte,prélève effectuer deux fois compte
34,Pas exactement ce que j'attendais mais ça fera l'affaire.,mitigé,produit,opinion_mixte,pas exactement ce que j'attendais mais ça fera l'affaire,9,pas exactement j'attendais ça fera l'affaire,pas exacte j'attendais ça fera l'affaire
35,"Ah oui, super, encore un bug au moment du paiement.",négatif,paiement,sarcasme,ah oui super encore un bug au moment du paiement,10,ah oui super encore bug moment paiement,ah oui super encore bug moment paie
36,Dossier transmis à notre équipe technique.,neutre,administratif,factuel,dossier transmis à notre équipe technique,6,dossier transmis équipe technique,dossier transmis équipe technique
37,Quelle réactivité ! Réponse reçue en moins d'une heure.,positif,support,simple,quelle réactivité réponse reçue en moins d'une heure,8,quelle réactivité réponse reçue d'une heure,quelle réactiviter réponse recevoir d'une heure
38,Le produit est arrivé sans notice d'utilisation.,négatif,produit,problème,le produit est arrivé sans notice d'utilisation,7,produit arrivé notice d'utilisation,produit arriver notice d'utilisation
39,Je ne m'attendais pas à un service aussi soigné.,positif,support,négation_positive,je ne m'attendais pas à un service aussi soigné,9,ne m'attendais pas service soigné,ne m'attendais pas service soigner
40,La page de paiement plante systématiquement.,négatif,application,problème,la page de paiement plante systématiquement,6,page paiement plante systématiquement,page paie plante systématique
41,Commande annulée comme demandé.,neutre,administratif,factuel,commande annulée comme demandé,4,commande annulée demandé,commande annuler demander
42,"Le packaging est vraiment soin, on sent l'attention portée aux détails.",positif,produit,simple,le packaging est vraiment soin on sent l'attention portée aux détails,11,packaging vraiment soin on sent l'attention portée détails,packaging vrai soin on sent l'attention porter détails
43,J'aurais aimé être prévenu du retard par un email.,mitigé,livraison,opinion_mixte,j'aurais aimé être prévenu du retard par un email,9,j'aurais aimé prévenu retard email,j'aurais aimer prévenu retard email
44,"Impossible de parler à un humain, que des bots.",négatif,support,problème,impossible de parler à un humain que des bots,9,impossible parler humain bots,impossible parler humain bots
45,"Bon produit, livraison un peu longue, dans l'ensemble satisfait.",mitigé,general,opinion_mixte,bon produit livraison un peu longue dans l'ensemble satisfait,9,bon produit livraison peu longue l'ensemble satisfait,bon produit livraison peu long l'ensemble satisfaire
46,Votre assistant virtuel ne comprend rien à mes questions.,négatif,application,problème,votre assistant virtuel ne comprend rien à mes questions,9,assistant virtuel ne comprend rien questions,assistant virtuel ne comprend rien questions
47,"Ticket de support ouvert le 3, toujours sans réponse le 10.",négatif,support,problème,ticket de support ouvert le 3 toujours sans réponse le 10,9,ticket support ouvert toujours réponse,ticket support ouvert toujours réponse
48,Mes points de fidélité ont bien été crédités.,neutre,administratif,factuel,mes points de fidélité ont bien été crédités,8,points fidélité été crédités,points fidéliter éter créditéer
49,"Super application, je l'utilise tous les jours.",positif,application,simple,super application je l'utilise tous les jours,7,super application l'utilise tous jours,super application l'utilise tous jours
50,Le livreur a laissé le colis devant la porte sans sonner.,mitigé,livraison,opinion_mixte,le livreur a laissé le colis devant la porte sans sonner,11,livreur laissé colis devant porte sonner,livreur laisser colis devant porte sonner
51,Je ne pensais pas que ça marcherait si bien.,positif,produit,négation_positive,je ne pensais pas que ça marcherait si bien,9,ne pensais pas ça marcherait,ne pensais pas ça marcherait
52,"Paiement en plusieurs fois disponible, c'est appréciable.",positif,paiement,simple,paiement en plusieurs fois disponible c'est appréciable,7,paiement plusieurs fois disponible c'est appréciable,paie plusieurs fois disponible c'est appréciable
53,"On m'a dit que je serais remboursé, j'attends encore.",négatif,remboursement,problème,on m'a dit que je serais remboursé j'attends encore,9,on m'a dit serais remboursé j'attends encore,on m'a dit serais rembourser j'attends encore
54,Le chat en ligne est utile mais les réponses sont trop génériques.,mitigé,support,opinion_mixte,le chat en ligne est utile mais les réponses sont trop génériques,12,chat ligne utile réponses trop génériques,chat ligne utile réponses trop génériques
55,Numéro de suivi non fonctionnel depuis 4 jours.,négatif,livraison,problème,numéro de suivi non fonctionnel depuis 4 jours,7,numéro suivi non fonctionnel depuis jours,numéro suivi non fonctionnel depuis jours
56,Formulaire de réclamation envoyé.,neutre,administratif,factuel,formulaire de réclamation envoyé,4,formulaire réclamation envoyé,formulaire réclamation envoyer
57,Je suis agréablement surpris par la qualité du tissu.,positif,produit,simple,je suis agréablement surpris par la qualité du tissu,9,suis agréablement surpris qualité tissu,suis agréable surpris qualiter tissu
58,Votre politique de retour est un vrai parcours du combattant.,négatif,remboursement,problème,votre politique de retour est un vrai parcours du combattant,10,politique retour vrai parcours combattant,politique retour vrai parcours combattant
59,Retour pris en charge sans problème.,positif,remboursement,simple,retour pris en charge sans problème,6,retour pris charge problème,retour pris charge problème
60,Encore un email automatique sans réponse à ma vraie question.,négatif,support,sarcasme,encore un email automatique sans réponse à ma vraie question,10,encore email automatique réponse vraie question,encore email automatique réponse vraie question
61,"Application mise à jour ce matin, tout fonctionne maintenant.",positif,application,simple,application mise à jour ce matin tout fonctionne maintenant,9,application mise jour matin fonctionne maintenant,application mise jour matin fonctionne maintenant
62,La taille est conforme au guide des tailles.,neutre,produit,factuel,la taille est conforme au guide des tailles,8,taille conforme guide tailles,taille conforme guide tailles
63,Mon problème a finalement été résolu après plusieurs échanges.,mitigé,support,opinion_mixte,mon problème a finalement été résolu après plusieurs échanges,9,problème finalement été résolu après plusieurs échanges,problème finale éter résolu après plusieurs échanges
64,Je n'ai jamais eu de problème avec vos livraisons.,positif,livraison,négation_positive,je n'ai jamais eu de problème avec vos livraisons,9,n'ai jamais eu problème livraisons,n'ai jamais eu problème livraisons
65,"Le service après-vente est débordé, délais d'attente énormes.",négatif,support,problème,le service après vente est débordé délais d'attente énormes,9,service après vente débordé délais d'attente énormes,service après vente déborder délais d'attente énormes
66,"Produit reçu en parfait état, conforme à la commande.",positif,produit,simple,produit reçu en parfait état conforme à la commande,9,produit reçu parfait état conforme commande,produit recevoir parfait état conforme commande
67,J'ai dû appeler trois fois avant d'obtenir une réponse.,négatif,support,problème,j'ai dû appeler trois fois avant d'obtenir une réponse,9,j'ai dû appeler trois fois avant d'obtenir réponse,j'ai dû appeler trois fois avant d'obtenir réponse
68,Votre appli est la seule que j'utilise pour mes achats.,positif,application,simple,votre appli est la seule que j'utilise pour mes achats,10,appli seule j'utilise achats,appli seule j'utilise achats
69,"Remboursement partiel effectué, on attend la suite.",mitigé,remboursement,opinion_mixte,remboursement partiel effectué on attend la suite,7,remboursement partiel effectué on attend suite,rembourse partiel effectuer on attend suite
70,"Votre site est en maintenance depuis hier, génial.",négatif,application,sarcasme,votre site est en maintenance depuis hier génial,8,site maintenance depuis hier génial,site maintenance depuis hier génial
71,Carte cadeau activée avec succès.,neutre,administratif,factuel,carte cadeau activée avec succès,5,carte cadeau activée succès,carte cadeau activer succès
72,"Le produit est exactement comme sur les photos, très belle qualité.",positif,produit,simple,le produit est exactement comme sur les photos très belle qualité,11,produit exactement photos belle qualité,produit exacte photos belle qualiter
73,"Suivi de commande peu précis, on ne sait pas où est le colis.",mitigé,livraison,opinion_mixte,suivi de commande peu précis on ne sait pas où est le colis,13,suivi commande peu précis on ne sait pas colis,suivi commande peu précis on ne sait pas colis
74,J'ai été surpris en mal par la durée d'attente.,négatif,support,simple,j'ai été surpris en mal par la durée d'attente,9,j'ai été surpris mal durée d'attente,j'ai éter surpris mal durer d'attente
75,"Options de paiement variées, c'est pratique.",positif,paiement,simple,options de paiement variées c'est pratique,6,options paiement variées c'est pratique,options paie variéer c'est pratique
76,"Livraison à domicile non respectée, colis en point relais.",négatif,livraison,problème,livraison à domicile non respectée colis en point relais,9,livraison domicile non respectée colis point relais,livraison domicile non respecter colis point relais
77,Votre équipe a fait un excellent travail sur mon dossier.,positif,support,simple,votre équipe a fait un excellent travail sur mon dossier,10,équipe fait excellent travail dossier,équipe fait excellent travail dossier
78,Je n'aurais pas commandé si j'avais su les délais réels.,négatif,livraison,négation_positive,je n'aurais pas commandé si j'avais su les délais réels,10,n'aurais pas commandé j'avais su délais réels,n'aurais pas commander j'avais su délais réels
79,Tout s'est passé comme prévu.,neutre,general,factuel,tout s'est passé comme prévu,5,s'est passé prévu,s'est passer prévu
80,Les frais de livraison sont honnêtes.,mitigé,livraison,opinion_mixte,les frais de livraison sont honnêtes,6,frais livraison honnêtes,frais livraison honnêtes
81,Mon compte a été piraté et votre support n'a pas pris ça au sérieux.,négatif,support,problème,mon compte a été piraté et votre support n'a pas pris ça au sérieux,14,compte été piraté support n'a pas pris ça sérieux,compte éter pirater support n'a pas pris ça sérieux
82,"Bel emballage, produit solide, je recommande.",positif,produit,simple,bel emballage produit solide je recommande,6,bel emballage produit solide recommande,bel emballage produit solide recommande
83,Je ne vois pas pourquoi on critique autant ce service.,positif,general,négation_positive,je ne vois pas pourquoi on critique autant ce service,10,ne vois pas pourquoi on critique autant service,ne vois pas pourquoi on critique autant service
84,Le produit sent mauvais à l'ouverture.,négatif,produit,problème,le produit sent mauvais à l'ouverture,6,produit sent mauvais l'ouverture,produit sent mauvais l'ouverture
85,Réclamation prise en compte.,neutre,administratif,factuel,réclamation prise en compte,4,réclamation prise compte,réclamation prise compte
86,Excellente expérience d'achat du début à la fin.,positif,general,simple,excellente expérience d'achat du début à la fin,8,excellente expérience d'achat début fin,excellente expérience d'achat début fin
87,Le service est bien mais les prix ont beaucoup augmenté.,mitigé,general,opinion_mixte,le service est bien mais les prix ont beaucoup augmenté,10,service prix beaucoup augmenté,service prix beaucoup augmenter
88,J'attends mon remboursement depuis plus d'un mois.,négatif,remboursement,problème,j'attends mon remboursement depuis plus d'un mois,7,j'attends remboursement depuis d'un mois,j'attends rembourse depuis d'un mois
89,"Vraiment top, je n'ai rien à reprocher.",positif,general,simple,vraiment top je n'ai rien à reprocher,7,vraiment top n'ai rien reprocher,vrai top n'ai rien reprocher
90,"Super, la commande a disparu de mon espace client.",négatif,application,sarcasme,super la commande a disparu de mon espace client,9,super commande disparu espace client,super commande disparu espace client
91,Statut de commande mis à jour.,neutre,administratif,factuel,statut de commande mis à jour,6,statut commande mis jour,statut commande mis jour
92,Le produit est robuste et bien conçu.,positif,produit,simple,le produit est robuste et bien conçu,7,produit robuste conçu,produit robuste conçu
93,Je n'attendais pas grand chose et j'ai été positivement surpris.,positif,produit,négation_positive,je n'attendais pas grand chose et j'ai été positivement surpris,10,n'attendais pas grand chose j'ai été positivement surpris,n'attendais pas grand chose j'ai éter positive surpris
94,Livraison correcte mais sans vrai suivi.,mitigé,livraison,opinion_mixte,livraison correcte mais sans vrai suivi,6,livraison correcte vrai suivi,livraison correcte vrai suivi
95,Impossible de modifier mon adresse de livraison en ligne.,négatif,application,problème,impossible de modifier mon adresse de livraison en ligne,9,impossible modifier adresse livraison ligne,impossible modifier adresse livraison ligne
96,L'agent du support a été patient et clair dans ses explications.,positif,support,simple,l'agent du support a été patient et clair dans ses explications,11,l'agent support été patient clair explications,l'agent support éter patient clair explications
97,Produit de mauvaise qualité pour ce prix.,négatif,produit,problème,produit de mauvaise qualité pour ce prix,7,produit mauvaise qualité prix,produit mauvaise qualiter prix
98,Abonnement résilié selon votre demande.,neutre,administratif,factuel,abonnement résilié selon votre demande,5,abonnement résilié selon demande,abonne résilier selon demande
99,Petite déception sur la finition mais globalement satisfait.,mitigé,produit,opinion_mixte,petite déception sur la finition mais globalement satisfait,8,petite déception finition globalement satisfait,petite déception finition globale satisfaire
100,Votre appli sait comment rendre une expérience frustrante.,négatif,application,sarcasme,votre appli sait comment rendre une expérience frustrante,8,appli sait comment rendre expérience frustrante,appli sait com rendre expérience frustrante
101,"Commande expédiée en moins de 24h, impressionnant.",positif,livraison,simple,commande expédiée en moins de 24h impressionnant,7,commande expédiée impressionnant,commande expédier impressionnant
102,Je n'aurais pas cru qu'un service client pouvait être aussi efficace.,positif,support,négation_positive,je n'aurais pas cru qu'un service client pouvait être aussi efficace,11,n'aurais pas cru qu'un service client pouvait efficace,n'aurais pas cru qu'un service client pouvait efficace
103,Paiement sécurisé et rapide.,positif,paiement,simple,paiement sécurisé et rapide,4,paiement sécurisé rapide,paie sécuriser rapide
104,"Ma commande a été perdue, j'ai dû relancer trois fois.",négatif,livraison,problème,ma commande a été perdue j'ai dû relancer trois fois,10,commande été perdue j'ai dû relancer trois fois,commande éter perdue j'ai dû relancer trois fois
105,Un peu surpris par l'absence d'email de confirmation.,mitigé,administratif,opinion_mixte,un peu surpris par l'absence d'email de confirmation,8,peu surpris l'absence d'email confirmation,peu surpris l'absence d'email confirmation
106,L'application se ferme seule lors du paiement.,négatif,application,problème,l'application se ferme seule lors du paiement,7,l'application ferme seule paiement,l'application ferme seule paie
107,Votre nouveau design est bien plus agréable.,positif,application,simple,votre nouveau design est bien plus agréable,7,nouveau design agréable,nouveau design agréable
108,J'aurais préféré un emballage plus sobre.,mitigé,produit,opinion_mixte,j'aurais préféré un emballage plus sobre,6,j'aurais préféré emballage sobre,j'aurais préférer emballage sobre
109,Adresse de facturation modifiée avec succès.,neutre,administratif,factuel,adresse de facturation modifiée avec succès,6,adresse facturation modifiée succès,adresse facturation modifier succès
110,"Bon produit dans l'ensemble, quelques défauts mineurs.",mitigé,produit,opinion_mixte,bon produit dans l'ensemble quelques défauts mineurs,7,bon produit l'ensemble quelques défauts mineurs,bon produit l'ensemble quelques défauts mineurs
111,La qualité n'est pas au rendez-vous pour ce prix.,négatif,produit,problème,la qualité n'est pas au rendez vous pour ce prix,10,qualité n'est pas rendez prix,qualiter n'est pas rendez prix
112,Excellent rapport qualité-prix.,positif,produit,simple,excellent rapport qualité prix,4,excellent rapport qualité prix,excellent rapport qualiter prix
113,Mon livreur a été très aimable.,positif,livraison,simple,mon livreur a été très aimable,6,livreur été aimable,livreur éter aimable
114,Je n'ai aucune plainte à formuler.,positif,general,négation_positive,je n'ai aucune plainte à formuler,6,n'ai aucune plainte formuler,n'ai aucune plainte formuler
115,Le site met du temps à charger.,mitigé,application,opinion_mixte,le site met du temps à charger,7,site met temps charger,site met temps charger
116,Votre politique de confidentialité est très longue à lire.,mitigé,administratif,opinion_mixte,votre politique de confidentialité est très longue à lire,9,politique confidentialité longue lire,politique confidentialiter long lire
117,"Taille plus petite que prévu, décevant.",négatif,produit,problème,taille plus petite que prévu décevant,6,taille petite prévu décevant,taille petite prévu décevant
118,Je ne pensais pas recevoir mon colis aussi vite.,positif,livraison,négation_positive,je ne pensais pas recevoir mon colis aussi vite,9,ne pensais pas recevoir colis vite,ne pensais pas recevoir colis vite
119,Code promo non appliqué lors du paiement.,négatif,paiement,problème,code promo non appliqué lors du paiement,7,code promo non appliqué paiement,code promo non appliquer paie
120,Dossier traité dans les délais.,neutre,administratif,factuel,dossier traité dans les délais,5,dossier traité délais,dossier traiter délais
121,Le service est fiable mais un peu impersonnel.,mitigé,support,opinion_mixte,le service est fiable mais un peu impersonnel,8,service fiable peu impersonnel,service fiable peu impersonnel
122,"Produit conforme, rien à signaler.",neutre,produit,factuel,produit conforme rien à signaler,5,produit conforme rien signaler,produit conforme rien signaler
123,J'ai attendu 40 minutes en ligne avant d'avoir quelqu'un.,négatif,support,problème,j'ai attendu 40 minutes en ligne avant d'avoir quelqu'un,8,j'ai attendu minutes ligne avant d'avoir quelqu'un,j'ai attendu minutes ligne avant d'avoir quelqu'un
124,"Belle surprise, le produit est encore mieux en vrai.",positif,produit,simple,belle surprise le produit est encore mieux en vrai,9,belle surprise produit encore mieux vrai,belle surprise produit encore mieux vrai
125,L'appli plante souvent sur iOS 17.,négatif,application,problème,l'appli plante souvent sur ios 17,5,l'appli plante souvent ios,l'appli plante souvent ios
126,Votre service ne déçoit jamais.,positif,general,simple,votre service ne déçoit jamais,5,service ne déçoit jamais,service ne déçoit jamais
127,"Je n'ai pas eu à relancer, c'est rare.",positif,support,négation_positive,je n'ai pas eu à relancer c'est rare,8,n'ai pas eu relancer c'est rare,n'ai pas eu relancer c'est rare
128,"Suivi de livraison en temps réel, vraiment pratique.",positif,livraison,simple,suivi de livraison en temps réel vraiment pratique,8,suivi livraison temps réel vraiment pratique,suivi livraison temps réel vrai pratique
129,Le produit est arrivé abîmé malgré l'emballage.,négatif,produit,problème,le produit est arrivé abîmé malgré l'emballage,7,produit arrivé abîmé malgré l'emballage,produit arriver abîmer malgrer l'emballage
130,Notifications push désactivées selon votre demande.,neutre,administratif,factuel,notifications push désactivées selon votre demande,6,notifications push désactivées selon demande,notifications push désactivéer selon demande
131,"Je suis globalement content, mais la livraison m'a déçu.",mitigé,livraison,opinion_mixte,je suis globalement content mais la livraison m'a déçu,9,suis globalement content livraison m'a déçu,suis globale content livraison m'a décevoir
132,Le chat bot ne comprend pas les questions complexes.,négatif,support,problème,le chat bot ne comprend pas les questions complexes,9,chat bot ne comprend pas questions complexes,chat bot ne comprend pas questions complexes
133,Je recommanderais ce service sans hésiter.,positif,general,simple,je recommanderais ce service sans hésiter,6,recommanderais service hésiter,recommanderais service hésiter
134,"Super, la promo s'est terminée juste avant que je passe commande.",négatif,paiement,sarcasme,super la promo s'est terminée juste avant que je passe commande,11,super promo s'est terminée juste avant passe commande,super promo s'est terminer juste avant passe commande
135,"Retour validé, avoir disponible sur votre compte.",neutre,remboursement,factuel,retour validé avoir disponible sur votre compte,7,retour validé disponible compte,retour valider disponible compte
136,La qualité de fabrication est vraiment sérieuse.,positif,produit,simple,la qualité de fabrication est vraiment sérieuse,7,qualité fabrication vraiment sérieuse,qualiter fabrication vrai sérieuse
137,Commande reçue mais un article manquant.,négatif,produit,problème,commande reçue mais un article manquant,6,commande reçue article manquant,commande recevoir article manquant
138,L'interface mobile est bien pensée.,positif,application,simple,l'interface mobile est bien pensée,5,l'interface mobile pensée,l'interface mobile penser
139,Je ne m'attendais pas à un aussi bon emballage.,positif,produit,négation_positive,je ne m'attendais pas à un aussi bon emballage,9,ne m'attendais pas bon emballage,ne m'attendais pas bon emballage
140,"Frais de port gratuits à partir de 30 euros, c'est logique.",neutre,paiement,factuel,frais de port gratuits à partir de 30 euros c'est logique,10,frais port gratuits partir euros c'est logique,frais port gratuits partir euros c'est logique
141,Votre service de remboursement est une vraie épreuve.,négatif,remboursement,problème,votre service de remboursement est une vraie épreuve,8,service remboursement vraie épreuve,service rembourse vraie épreuve
142,Application fonctionnelle et sans fioritures.,positif,application,simple,application fonctionnelle et sans fioritures,5,application fonctionnelle fioritures,application fonctionnelle fioritures
143,Le produit est bien mais les instructions sont en anglais seulement.,mitigé,produit,opinion_mixte,le produit est bien mais les instructions sont en anglais seulement,11,produit instructions anglais seulement,produit instructions anglais seule
144,Je n'ai jamais eu à me plaindre de vos livraisons.,positif,livraison,négation_positive,je n'ai jamais eu à me plaindre de vos livraisons,10,n'ai jamais eu plaindre livraisons,n'ai jamais eu plaindre livraisons
145,Formulaire de retour trop complexe.,négatif,remboursement,problème,formulaire de retour trop complexe,5,formulaire retour trop complexe,formulaire retour trop complexe
146,Photo de livraison disponible dans l'appli.,neutre,livraison,factuel,photo de livraison disponible dans l'appli,6,photo livraison disponible l'appli,photo livraison disponible l'appli
147,Votre support a réglé mon problème en moins de 10 minutes.,positif,support,simple,votre support a réglé mon problème en moins de 10 minutes,10,support réglé problème minutes,support régler problème minutes
148,Produit différent de celui commandé.,négatif,produit,problème,produit différent de celui commandé,5,produit différent celui commandé,produit différent celui commander
149,Je suis surpris par l'absence de suivi après achat.,négatif,support,problème,je suis surpris par l'absence de suivi après achat,9,suis surpris l'absence suivi après achat,suis surpris l'absence suivi après achat
150,Application légère et rapide à charger.,positif,application,simple,application légère et rapide à charger,6,application légère rapide charger,application légère rapide charger
151,"Remboursement reçu, merci pour la réactivité.",positif,remboursement,simple,remboursement reçu merci pour la réactivité,6,remboursement reçu merci réactivité,rembourse recevoir merci réactiviter
152,Le livreur ne sonne pas et repart aussitôt.,négatif,livraison,problème,le livreur ne sonne pas et repart aussitôt,8,livreur ne sonne pas repart aussitôt,livreur ne sonne pas repart aussitôt
153,"Franchement, je ne pensais pas que vous vous en sortiriez aussi bien.",positif,support,négation_positive,franchement je ne pensais pas que vous vous en sortiriez aussi bien,12,franchement ne pensais pas sortiriez,franche ne pensais pas sortiriez
154,Les photos du produit sont trompeuses.,négatif,produit,problème,les photos du produit sont trompeuses,6,photos produit trompeuses,photos produit trompeuses
155,Commande confirmée par email.,neutre,administratif,factuel,commande confirmée par email,4,commande confirmée email,commande confirmer email
156,La navigation sur le site est fluide et agréable.,positif,application,simple,la navigation sur le site est fluide et agréable,9,navigation site fluide agréable,navigation site fluide agréable
157,Encore un retard sans explication.,négatif,livraison,sarcasme,encore un retard sans explication,5,encore retard explication,encore retard explication
158,Je ne comprends pas pourquoi mon paiement a été refusé.,négatif,paiement,problème,je ne comprends pas pourquoi mon paiement a été refusé,10,ne comprends pas pourquoi paiement été refusé,ne comprends pas pourquoi paie éter refuser
159,Votre espace client est bien organisé.,positif,application,simple,votre espace client est bien organisé,6,espace client organisé,espace client organiser
160,Quelques jours d'attente mais le résultat en valait la peine.,mitigé,livraison,opinion_mixte,quelques jours d'attente mais le résultat en valait la peine,10,quelques jours d'attente résultat valait peine,quelques jours d'attente résultat valait peine
161,Mon conseiller a vraiment fait preuve de professionnalisme.,positif,support,simple,mon conseiller a vraiment fait preuve de professionnalisme,8,conseiller vraiment fait preuve professionnalisme,conseiller vrai fait preuve professionnalisme
162,"Produit de qualité médiocre, ne tient pas ses promesses.",négatif,produit,problème,produit de qualité médiocre ne tient pas ses promesses,9,produit qualité médiocre ne tient pas promesses,produit qualiter médiocre ne tient pas promesses
163,Je n'ai aucun regret concernant cet achat.,positif,produit,négation_positive,je n'ai aucun regret concernant cet achat,7,n'ai aucun regret concernant achat,n'ai aucun regret concernant achat
164,Mot de passe réinitialisé avec succès.,neutre,administratif,factuel,mot de passe réinitialisé avec succès,6,mot passe réinitialisé succès,mot passe réinitialiser succès
165,Délai de remboursement trop long.,négatif,remboursement,problème,délai de remboursement trop long,5,délai remboursement trop long,délai rembourse trop long
166,L'équipe a su trouver une solution rapidement.,positif,support,simple,l'équipe a su trouver une solution rapidement,7,l'équipe su trouver solution rapidement,l'équipe su trouver solution rapide
167,Votre FAQ répond rarement aux vraies questions.,négatif,support,problème,votre faq répond rarement aux vraies questions,7,faq répond rarement vraies questions,faq répond rare vraies questions
168,"Belle qualité, je suis impressionné.",positif,produit,simple,belle qualité je suis impressionné,5,belle qualité suis impressionné,belle qualiter suis impressionner
